wavelength_nm,E_norm
673.34,0.09593
673.68,0.09576
674.03,0.09403
674.37,0.09371
674.72,0.09256
675.06,0.09131
675.4,0.09086
675.75,0.0902
676.09,0.08862
676.44,0.08765
676.78,0.08844
677.13,0.08714
677.47,0.08679
677.82,0.08301
678.16,0.08343
678.5,0.08309
678.85,0.08315
679.19,0.08164
679.54,0.08021
679.88,0.08078
680.22,0.07924
680.57,0.07948
680.91,0.07781
681.26,0.07712
681.6,0.07594
681.94,0.075
682.29,0.0735
682.63,0.07279
682.97,0.07218
683.32,0.07231
683.66,0.07214
684.0,0.07155
684.35,0.06928
684.69,0.06839
685.03,0.06733
685.38,0.06698
685.72,0.06789
686.06,0.06627
686.41,0.0655
686.75,0.06382
687.09,0.06372
687.44,0.06326
687.78,0.06278
688.12,0.06141
688.46,0.06093
688.81,0.06088
689.15,0.05887
689.49,0.06074
689.83,0.05844
690.18,0.05669
690.52,0.05537
690.86,0.05535
691.2,0.05536
691.55,0.05389
691.89,0.05335
692.23,0.05343
692.57,0.05142
692.92,0.05168
693.26,0.0508
693.6,0.05029
693.94,0.04944
694.29,0.04789
694.63,0.04841
694.97,0.04725
695.31,0.04622
695.65,0.04506
695.99,0.04558
696.34,0.0454
696.68,0.04432
697.02,0.04279
697.36,0.04337
697.7,0.0414
698.04,0.04213
698.39,0.04073
698.73,0.0405
699.07,0.03955
699.41,0.03976
699.75,0.03909
700.09,0.03852
700.43,0.03733
700.78,0.03738
701.12,0.03819
701.46,0.03747
701.8,0.03558
702.14,0.03631
702.48,0.03525
702.82,0.03426
703.16,0.03388
703.5,0.03341
703.84,0.03282
704.19,0.03277
704.53,0.0316
704.87,0.03189
705.21,0.03163
705.55,0.02979
705.89,0.02995
706.23,0.02889
706.57,0.02892
706.91,0.02941
707.25,0.02877
707.59,0.02921
707.93,0.02786
708.27,0.02763
708.61,0.02644
708.95,0.02683
709.29,0.02686
709.63,0.02564
709.97,0.02574
710.31,0.02567
710.65,0.02481
710.99,0.02458
711.33,0.02445
711.67,0.02437
712.01,0.02315
712.35,0.02261
712.69,0.02243
713.03,0.02233
713.37,0.0223
713.71,0.02176
714.05,0.02176
714.39,0.02116
714.73,0.02064
715.07,0.02101
715.4,0.02062
715.74,0.01961
716.08,0.02047
716.42,0.02037
716.76,0.01917
717.1,0.01896
717.44,0.01969
717.78,0.01818
718.12,0.01818
718.46,0.01873
718.79,0.01764
719.13,0.01717
719.47,0.01642
719.81,0.01707
720.15,0.01723
720.49,0.01659
720.83,0.01667
721.17,0.01582
721.5,0.01638
721.84,0.01604
722.18,0.01587
722.52,0.01598
722.86,0.01483
723.19,0.01531
723.53,0.01501
723.87,0.01415
724.21,0.01434
724.55,0.01498
724.89,0.01414
725.22,0.01465
725.56,0.01384
725.9,0.01419
726.24,0.01391
726.57,0.01433
726.91,0.01387
727.25,0.01329
727.59,0.01314
727.92,0.01291
728.26,0.01279
728.6,0.013
728.94,0.01243
729.27,0.01217
729.61,0.01239
729.95,0.01245
730.29,0.01229
730.62,0.01182
730.96,0.01156
731.3,0.01114
731.63,0.01226
731.97,0.01203
732.31,0.01143
732.65,0.01061
732.98,0.01064
733.32,0.01075
733.66,0.01081
733.99,0.0101
734.33,0.01026
734.67,0.01013
735.0,0.00979
735.34,0.00982
735.68,0.00924
736.01,0.00967
736.35,0.01053
736.68,0.01003
737.02,0.01025
737.36,0.00889
737.69,0.00954
738.03,0.00879
738.37,0.00922
738.7,0.00896
739.04,0.00888
739.37,0.00934
739.71,0.00873
740.05,0.00823
740.38,0.00815
740.72,0.0084
741.05,0.0084
741.39,0.0077
741.72,0.00827
742.06,0.00876
742.39,0.00831
742.73,0.00777
743.07,0.00832
743.4,0.00802
743.74,0.00751
744.07,0.00752
744.41,0.00698
744.74,0.0069
745.08,0.00785
745.41,0.00713
745.75,0.00727
746.08,0.0076
746.42,0.00719
746.75,0.0072
747.09,0.00772
747.42,0.00628
747.76,0.00655
748.09,0.00688
748.43,0.00672
748.76,0.0064
749.1,0.00632
749.43,0.00652
749.76,0.00597
750.1,0.00579
750.43,0.00641
750.77,0.00622
751.1,0.00565
751.44,0.00606
751.77,0.00633
752.1,0.00625
752.44,0.00563
752.77,0.00579
753.11,0.00541
753.44,0.00574
753.77,0.00585
754.11,0.00533
754.44,0.00587
754.78,0.00525
755.11,0.00544
755.44,0.00495
755.78,0.00536
756.11,0.00533
756.44,0.00522
756.78,0.00462
757.11,0.00481
757.44,0.00517
757.78,0.0053
758.11,0.00492
758.44,0.005
758.78,0.0049
759.11,0.00512
759.44,0.0055
759.78,0.00479
760.11,0.00446
760.44,0.00468
760.78,0.00441
761.11,0.00449
761.44,0.0046
761.77,0.00443
762.11,0.00463
762.44,0.00391
762.77,0.00427
763.11,0.00441
763.44,0.00424
763.77,0.00419
764.1,0.0034
764.44,0.00373
764.77,0.00375
765.1,0.00351
765.43,0.00444
765.76,0.00444
766.1,0.00362
766.43,0.00351
766.76,0.00354
767.09,0.00356
767.42,0.00302
767.76,0.0031
768.09,0.00362
768.42,0.00354
768.75,0.00384
769.08,0.00271
769.42,0.00324
769.75,0.00326
770.08,0.00288
770.41,0.00313
770.74,0.00294
771.07,0.00288
771.4,0.00189
771.74,0.00307
772.07,0.00225
772.4,0.0025
772.73,0.00285
773.06,0.00291
773.39,0.00299
773.72,0.00255
774.05,0.00264
774.38,0.00302
774.72,0.00266
775.05,0.00294
775.38,0.00242
775.71,0.00201
776.04,0.00228
776.37,0.00258
776.7,0.00253
777.03,0.00223
777.36,0.00234
777.69,0.00278
778.02,0.0022
778.35,0.00234
778.68,0.00264
779.01,0.00181
779.34,0.00253
779.67,0.00234
780.0,0.00212
780.33,0.00225
780.66,0.00223
780.99,0.00228
781.32,0.00171
781.65,0.00102
781.98,0.00206
782.31,0.00234
782.64,0.00206
782.97,0.00184
783.3,0.00184
783.63,0.00206
783.96,0.00179
784.29,0.00171
784.62,0.00195
784.95,0.00187
785.28,0.00176
785.61,0.00193
785.94,0.00196
786.27,0.00289
786.6,0.00259
786.93,0.0022
787.25,0.00185
787.58,0.00193
787.91,0.00196
788.24,0.00116
788.57,0.00146
788.9,0.00099
789.23,0.00116
789.56,0.00176
789.88,0.00141
790.21,0.00179
790.54,0.00141
790.87,0.00207
791.2,0.00168
791.53,0.0019
791.86,0.00179
792.18,0.00157
792.51,0.00121
792.84,0.0013
793.17,0.00138
793.5,0.00174
793.83,0.00152
794.15,0.00127
794.48,0.00121
794.81,0.0016
795.14,0.00132
795.46,0.0016
795.79,0.00144
796.12,0.0013
796.45,0.00152
796.78,0.00122
797.1,0.00174
797.43,0.00113
797.76,0.00088
798.09,0.00152
798.41,0.00119
798.74,0.00058
799.07,0.00105
799.39,0.00193
799.72,0.00152
800.05,0.00069
800.38,0.0008
800.7,0.00108
801.03,0.00127
801.36,0.0016
801.68,0.00147
802.01,0.00124
802.34,0.00166
802.66,0.00113
802.99,0.00113
803.32,0.00133
803.64,0.00133
803.97,0.00102
804.3,0.00089
804.62,0.0013
804.95,0.00113
805.28,0.00119
805.6,0.0013
805.93,0.00089
806.26,3e-05
806.58,0.00055
806.91,0.00114
807.23,0.00097
807.56,0.00083
807.89,0.00108
808.21,0.00166
808.54,0.00102
808.86,0.00102
809.19,0.00072
809.51,0.00069
809.84,0.00075
810.17,0.00075
810.49,0.00105
810.82,0.00053
811.14,0.00091
811.47,0.00083
811.79,0.00103
812.12,0.00078
812.44,0.00058
812.77,0.00103
813.09,0.00097
813.42,6e-05
813.74,0.00061
814.07,0.00036
814.39,0.00072
814.72,0.00078
815.04,0.00103
815.37,0.00097
815.69,0.00097
816.02,0.00061
816.34,0.001
816.67,0.00056
816.99,0.00011
817.32,0.00097
817.64,0.00147
817.97,0.00097
818.29,0.00081
818.61,0.00078
818.94,0.00106
819.26,0.00172
819.59,0.00086
819.91,0.00072
820.23,0.00097
820.56,0.00064
820.88,0.00086
821.21,0.0
821.53,0.00047
821.85,0.0005
822.18,0.00011
822.5,0.00058
822.83,0.001
823.15,0.00092
823.47,0.00028
823.8,0.00072
824.12,0.00081
824.44,0.00047
824.77,0.00111
825.09,0.00042
825.41,0.00056
825.74,0.00081
826.06,0.00103
826.38,0.00067
826.71,0.00033
827.03,0.00097
827.35,0.00064
827.67,0.00045
828.0,0.00092
828.32,0.00156
828.64,0.00081
828.97,0.00039
829.29,0.00086
829.61,0.00053
829.93,0.00053
830.26,0.0005
830.58,0.00064
830.9,0.00109
831.22,0.00114
831.54,0.00028
831.87,8e-05
832.19,0.0005
832.51,0.00078
832.83,0.00089
833.16,0.00109
833.48,0.00106
833.8,0.00089
834.12,0.00056
834.44,0.00014
834.76,0.00028
835.09,0.001
835.41,0.00064
835.73,0.00089
836.05,0.00073
836.37,0.00086
836.69,0.00056
837.02,0.00045
837.34,0.00042
837.66,0.00047
837.98,3e-05
838.3,0.00031
838.62,8e-05
838.94,0.00112
839.26,0.00137
839.59,0.00081
839.91,0.00067
840.23,0.00053
840.55,0.00045
840.87,0.00061
841.19,3e-05
841.51,0.00039
841.83,0.00056
842.15,0.00031
842.47,0.00036
842.79,0.00011
843.11,0.00039
843.43,0.00017
843.75,0.0005
844.07,0.00036
844.39,0.0007
844.71,0.0007
845.03,0.00092
845.35,0.00017
845.67,0.0002
845.99,0.00014
846.31,0.00022
846.63,0.0005
846.95,0.0002
847.27,0.00076
847.59,0.00045
847.91,0.00045
848.23,0.0
848.55,0.00064
848.87,0.00048
849.19,0.00039
849.51,0.00081
849.83,0.00062
850.15,0.0
850.47,0.00014
850.79,0.00022
851.11,0.00059
851.43,0.00042
851.75,0.00011
852.06,0.00059
852.38,0.00076
852.7,0.00081
853.02,0.00076
853.34,0.0
853.66,0.0007
853.98,0.00098
854.3,0.00104
854.61,0.00076
854.93,0.0002
855.25,0.00059
855.57,0.00045
855.89,0.00039
856.21,0.00059
856.53,0.00039
856.84,0.00078
857.16,0.00025
857.48,0.00045
857.8,0.00045
858.12,0.00056
858.43,0.00022
858.75,0.00042
859.07,0.00048
859.39,0.00011
859.71,0.00034
860.02,0.00028
860.34,0.00014
860.66,0.0
860.98,0.00076
861.29,0.00025
861.61,0.00053
861.93,0.00031
862.25,0.00056
862.56,0.00028
862.88,0.00031
863.2,8e-05
863.51,0.00031
